iteration,gen_diff,cost_diff,gen_GTM,gen_OPGF,cost_GTM,cost_OPGF,status
1,165712.0910149546,4987020.721988322,306500.0,140787.9089850454,4306163.10495668,-680857.6170316421,success
2,99843.99123061344,3227217.4567386666,238303.59579669847,138459.60456608504,2546359.8410565397,-680857.6156821271,success
3,100431.75594389223,3227217.456748675,238498.4604668741,138066.70452298186,2546359.8410565397,-680857.6156921353,success
4,100037.40977664574,3227215.934880493,238493.93446747973,138456.524690834,2546358.485537395,-680857.4493430986,success
5,100052.31746051813,3227217.456748753,238500.00000001641,138447.6825394983,2546359.8410565397,-680857.6156922133,success
6,100040.16846811629,3227217.45674876,238499.77294278692,138459.60447467063,2546358.8448983976,-680858.6118503623,success
7,32040.40792998494,3227217.452890476,170500.0,138459.59207001506,2546359.8410565397,-680857.6118339363,success
8,97169.3774212919,3217391.4349708674,235628.98190044964,138459.60447915774,2519867.98396826,-697523.4510026071,success
9,32381.370896551496,3227217.452890476,170500.0,138118.6291034485,2546359.8410565397,-680857.6118339363,success
10,97169.3774212919,3217391.4349708674,235628.98190044964,138459.60447915774,2519867.98396826,-697523.4510026071,success
11,32381.370896551496,3227217.452890476,170500.0,138118.6291034485,2546359.8410565397,-680857.6118339363,success
